Timestamp,Index,Value
2026-06-03 17:27:49.105,0,64.2
2026-06-03 17:27:49.208,1,65.9
2026-06-03 17:27:49.322,2,67.1
2026-06-03 17:27:49.427,3,66.5
2026-06-03 17:27:49.538,4,68.5
2026-06-03 17:27:49.647,5,68.6
2026-06-03 17:27:49.756,6,70.8
2026-06-03 17:27:49.866,7,71.9
2026-06-03 17:27:49.974,8,72.6
2026-06-03 17:27:50.086,9,73.1
2026-06-03 17:27:50.195,10,72.1
2026-06-03 17:27:50.304,11,74.0
2026-06-03 17:27:50.414,12,73.7
2026-06-03 17:27:50.523,13,74.4
2026-06-03 17:27:50.632,14,72.8
2026-06-03 17:27:50.741,15,74.2
2026-06-03 17:27:50.850,16,72.4
2026-06-03 17:27:50.959,17,72.2
2026-06-03 17:27:51.068,18,71.3
2026-06-03 17:27:51.178,19,71.9
2026-06-03 17:27:51.287,20,70.0
2026-06-03 17:27:51.396,21,69.6
2026-06-03 17:27:51.505,22,69.0
2026-06-03 17:27:51.616,23,67.7
2026-06-03 17:27:51.729,24,67.3
2026-06-03 17:27:51.837,25,65.6
2026-06-03 17:27:51.943,26,65.4
2026-06-03 17:27:52.056,27,64.5
2026-06-03 17:27:52.196,28,63.2
2026-06-03 17:27:52.311,29,61.7
2026-06-03 17:27:52.413,30,62.3
2026-06-03 17:27:52.523,31,61.0
2026-06-03 17:27:53.444,0,63.7
2026-06-03 17:27:53.554,1,65.9
2026-06-03 17:27:53.666,2,65.6
2026-06-03 17:27:53.773,3,66.7
2026-06-03 17:27:53.882,4,68.4
2026-06-03 17:27:53.995,5,69.2
2026-06-03 17:27:54.101,6,69.9
2026-06-03 17:27:54.213,7,71.5
2026-06-03 17:27:54.318,8,71.4
2026-06-03 17:27:54.480,9,71.9
2026-06-03 17:27:54.620,10,72.4
2026-06-03 17:27:54.728,11,72.7
2026-06-03 17:27:54.833,12,73.9
2026-06-03 17:27:55.663,0,64.8
2026-06-03 17:27:55.772,1,65.6
2026-06-03 17:27:55.881,2,67.1
2026-06-03 17:27:55.993,3,67.6
2026-06-03 17:27:56.103,4,68.2
2026-06-03 17:27:56.208,5,69.3
2026-06-03 17:27:56.321,6,70.7
2026-06-03 17:27:56.431,7,70.9
2026-06-03 17:27:56.540,8,72.0
2026-06-03 17:27:56.650,9,73.2
2026-06-03 17:27:56.759,10,72.6
2026-06-03 17:27:56.866,11,73.3
2026-06-03 17:27:56.977,12,73.9
2026-06-03 17:27:57.084,13,73.6
2026-06-03 17:27:57.193,14,73.3
2026-06-03 17:27:57.307,15,73.5
2026-06-03 17:27:57.415,16,72.6
2026-06-03 17:27:57.523,17,72.8
2026-06-03 17:27:57.632,18,72.9
2026-06-03 17:27:57.741,19,70.7
2026-06-03 17:27:57.850,20,70.8
